283209	PGM2L1	phosphoglucomutase 2 like 1 [Source:HGNC Symbol;Acc:HGNC:20898]										
4236	MFAP1	microfibril associated protein 1 [Source:HGNC Symbol;Acc:HGNC:7032]										
57446	NDRG3	NDRG family member 3 [Source:HGNC Symbol;Acc:HGNC:14462]										
54467	ANKIB1	ankyrin repeat and IBR domain containing 1 [Source:HGNC Symbol;Acc:HGNC:22215]										
2705	GJB1	gap junction protein beta 1 [Source:HGNC Symbol;Acc:HGNC:4283]										
94160	ABCC12	ATP binding cassette subfamily C member 12 [Source:HGNC Symbol;Acc:HGNC:14640]										
5965	RECQL	RecQ like helicase [Source:HGNC Symbol;Acc:HGNC:9948]										
284297	SSC5D	scavenger receptor cysteine rich family member with 5 domains [Source:HGNC Symbol;Acc:HGNC:26641]										
3628	INPP1	inositol polyphosphate-1-phosphatase [Source:HGNC Symbol;Acc:HGNC:6071]										
7559	ZNF12	zinc finger protein 12 [Source:HGNC Symbol;Acc:HGNC:12902]										
201255	LRRC45	leucine rich repeat containing 45 [Source:HGNC Symbol;Acc:HGNC:28302]										
7173	TPO	thyroid peroxidase [Source:HGNC Symbol;Acc:HGNC:12015]										
11185	INMT	indolethylamine N-methyltransferase [Source:HGNC Symbol;Acc:HGNC:6069]										
84196	USP48	ubiquitin specific peptidase 48 [Source:HGNC Symbol;Acc:HGNC:18533]										
54878	DPP8	dipeptidyl peptidase 8 [Source:HGNC Symbol;Acc:HGNC:16490]										
26018	LRIG1	leucine rich repeats and immunoglobulin like domains 1 [Source:HGNC Symbol;Acc:HGNC:17360]										
8028	MLLT10	MLLT10 histone lysine methyltransferase DOT1L cofactor [Source:HGNC Symbol;Acc:HGNC:16063]										
23007	PLCH1	phospholipase C eta 1 [Source:HGNC Symbol;Acc:HGNC:29185]										
27129	HSPB7	heat shock protein family B (small) member 7 [Source:HGNC Symbol;Acc:HGNC:5249]										
139378	ADGRG4	adhesion G protein-coupled receptor G4 [Source:HGNC Symbol;Acc:HGNC:18992]										
283383	ADGRD1	adhesion G protein-coupled receptor D1 [Source:HGNC Symbol;Acc:HGNC:19893]										
284348	LYPD5	LY6/PLAUR domain containing 5 [Source:HGNC Symbol;Acc:HGNC:26397]										
10216	PRG4	proteoglycan 4 [Source:HGNC Symbol;Acc:HGNC:9364]										
125	ADH1B	alcohol dehydrogenase 1B (class I), beta polypeptide [Source:HGNC Symbol;Acc:HGNC:250]										
128209	KLF17	Kruppel like factor 17 [Source:HGNC Symbol;Acc:HGNC:18830]										
146050	ZSCAN29	zinc finger and SCAN domain containing 29 [Source:HGNC Symbol;Acc:HGNC:26673]										
284323	ZNF780A	zinc finger protein 780A [Source:HGNC Symbol;Acc:HGNC:27603]										
57136	APMAP	adipocyte plasma membrane associated protein [Source:HGNC Symbol;Acc:HGNC:13238]										
116135	LRRC3B	leucine rich repeat containing 3B [Source:HGNC Symbol;Acc:HGNC:28105]										
158062	LCN6	lipocalin 6 [Source:HGNC Symbol;Acc:HGNC:17337]										
1479	CSTF3	cleavage stimulation factor subunit 3 [Source:HGNC Symbol;Acc:HGNC:2485]										
440590	ZYG11A	zyg-11 family member A, cell cycle regulator [Source:HGNC Symbol;Acc:HGNC:32058]										
3338	DNAJC4	DnaJ heat shock protein family (Hsp40) member C4 [Source:HGNC Symbol;Acc:HGNC:5271]										
138311	DIPK1B	divergent protein kinase domain 1B [Source:HGNC Symbol;Acc:HGNC:28290]										
79762	C1orf115	chromosome 1 open reading frame 115 [Source:HGNC Symbol;Acc:HGNC:25873]										
154790	CLEC2L	C-type lectin domain family 2 member L [Source:HGNC Symbol;Acc:HGNC:21969]										
51015	ISOC1	isochorismatase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:24254]										
55756	INTS9	integrator complex subunit 9 [Source:HGNC Symbol;Acc:HGNC:25592]										
105375355	UPK3B	uroplakin 3B [Source:HGNC Symbol;Acc:HGNC:21444]										
112268389	FAM66D	family with sequence similarity 66 member D [Source:HGNC Symbol;Acc:HGNC:24159]										
140876	RIPOR3	RIPOR family member 3 [Source:HGNC Symbol;Acc:HGNC:16168]										
157574	FBXO16	F-box protein 16 [Source:HGNC Symbol;Acc:HGNC:13618]										
163115	ZNF781	zinc finger protein 781 [Source:HGNC Symbol;Acc:HGNC:26745]										
196472	FAM71C	family with sequence similarity 71 member C [Source:HGNC Symbol;Acc:HGNC:28594]										
202865	C7orf33	chromosome 7 open reading frame 33 [Source:HGNC Symbol;Acc:HGNC:21724]										
220594	USP32P2	ubiquitin specific peptidase 32 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:30751]										
255349	TMEM211	transmembrane protein 211 [Source:HGNC Symbol;Acc:HGNC:33725]										
257358	LINC01366	long intergenic non-protein coding RNA 1366 [Source:HGNC Symbol;Acc:HGNC:27416]										
280659	SSX8P	SSX family member 8, pseudogene [Source:HGNC Symbol;Acc:HGNC:19654]										
285045	LINC00486	long intergenic non-protein coding RNA 486 [Source:HGNC Symbol;Acc:HGNC:42946]										
347475	CCDC160	coiled-coil domain containing 160 [Source:HGNC Symbol;Acc:HGNC:37286]										
55222	LRRC20	leucine rich repeat containing 20 [Source:HGNC Symbol;Acc:HGNC:23421]										
644538	SMIM10	small integral membrane protein 10 [Source:HGNC Symbol;Acc:HGNC:41913]										
7754	ZNF204P	zinc finger protein 204, pseudogene [Source:HGNC Symbol;Acc:HGNC:12995]										
79804	HAND2-AS1	HAND2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:48872]										
90557	CCDC74A	coiled-coil domain containing 74A [Source:HGNC Symbol;Acc:HGNC:25197]										
